ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2887745,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,43,Monash Rd-Swanston St (West),42
2887746,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,44,Tin Alley-Swanston St (West),41
2887747,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,35,Southbank,2058
2887748,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,45,Little Collins St-Swanston St (East),1647
2887749,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,46,Pelham St (S),134
2887750,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,47,Melbourne Central-Elizabeth St (East),1600
2887751,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,48,QVM-Queen St (East),256
2887752,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,49,QVM-Therry St (South),190
2887753,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,50,Faraday St-Lygon St (West),572
2887754,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,51,QVM-Franklin St (North),184
2887755,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,52,Elizabeth St-Lonsdale St (South),773
2887756,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,54,Lincoln-Swanston(West),182
2887757,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,55,Elizabeth St-La Trobe St (East),1748
2887758,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,56,Lonsdale St - Elizabeth St (North),569
2887759,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,57,Bourke St Bridge,379
2887760,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,58,Bourke St - Spencer St (North),953
2887761,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,59,Swanston St - RMIT Building 80,179
2887762,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,61,Swanston St - RMIT Building 14,832
2887763,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,62,La Trobe St (North),280
2887764,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,4,Town Hall (West),2051
2887765,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,17,Collins Place (South),320
2887766,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,18,Collins Place (North),182
2887767,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,53,Collins St (North),589
2887768,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,2,Bourke Street Mall (South),1204
2887769,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,1,Bourke Street Mall (North),2070
2887770,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,3,Melbourne Central,2822
2887771,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,15,State Library,1444
2887772,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,9,Southern Cross Station,277
2887773,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,10,Victoria Point,142
2887774,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,12,New Quay,476
2887775,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,11,Waterfront City,154
2887776,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,8,Webb Bridge,204
2887777,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,7,Birrarung Marr,203
2887778,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,5,Princes Bridge,1882
2887779,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,6,Flinders Street Station Underpass,2097
2887780,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,14,Sandridge Bridge,25
2887781,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,26,QV Market-Elizabeth St (West),672
2887782,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,24,Spencer St-Collins St (North),1043
2887783,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,23,Spencer St-Collins St (South),200
2887784,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,25,Melbourne Convention Exhibition Centre,1652
2887785,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,21,Bourke St-Russell St (West),997
2887786,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,20,Chinatown-Lt Bourke St (South),974
2887787,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,19,Chinatown-Swanston St (North),1362
2887788,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,22,Flinders St-Elizabeth St (East),2314
2887789,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,27,QV Market-Peel St,135
2887790,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,28,The Arts Centre,594
2887791,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,31,Lygon St (West),687
2887792,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,30,Lonsdale St (South),1064
2887793,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,34,Flinders St-Spark La,118
2887794,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,39,Alfred Place,158
2887795,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,37,Lygon St (East),325
2887796,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,40,Lonsdale St-Spring St (West),245
2887797,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,36,Queen St (West),367
2844936,09/29/2019 10:00:00 AM,2019,September,29,Sunday,10,7,Birrarung Marr,418
2887798,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,29,St Kilda Rd-Alexandra Gardens,299
2887799,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,42,Grattan St-Swanston St (West),198
2887800,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,43,Monash Rd-Swanston St (West),27
2887801,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,44,Tin Alley-Swanston St (West),42
2887802,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,35,Southbank,1695
2887803,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,45,Little Collins St-Swanston St (East),1471
2887804,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,46,Pelham St (S),132
2887805,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,47,Melbourne Central-Elizabeth St (East),1414
2887806,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,48,QVM-Queen St (East),186
2887807,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,49,QVM-Therry St (South),100
2887808,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,50,Faraday St-Lygon St (West),605
2887809,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,51,QVM-Franklin St (North),151
2887810,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,52,Elizabeth St-Lonsdale St (South),693
2887811,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,54,Lincoln-Swanston(West),216
2887812,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,55,Elizabeth St-La Trobe St (East),1673
2887813,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,56,Lonsdale St - Elizabeth St (North),560
2887814,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,57,Bourke St Bridge,249
2887815,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,58,Bourke St - Spencer St (North),662
2887816,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,59,Swanston St - RMIT Building 80,11
2887817,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,61,Swanston St - RMIT Building 14,741
2887818,11/01/2019 08:00:00 PM,2019,November,1,Friday,20,62,La Trobe St (North),273
2887819,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,4,Town Hall (West),1715
2887820,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,17,Collins Place (South),191
2887821,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,18,Collins Place (North),145
2887822,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,53,Collins St (North),485
2887823,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,2,Bourke Street Mall (South),588
2887824,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,1,Bourke Street Mall (North),1450
2887825,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,3,Melbourne Central,2662
2887826,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,15,State Library,1267
2887827,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,9,Southern Cross Station,167
